ticker,n_events,excess_1m_vs_smh,excess_1y_vs_smh,excess_3y_vs_smh
NVDA,7,0.061900142857142855,0.6354671428571429,2.4233818
MRVL,3,-0.119126,0.3399625,-0.307952
AVGO,6,-0.027460666666666664,0.20538733333333334,1.0715612
AAPL,3,-0.005408666666666666,0.12525966666666669,-0.19746000000000002
CRDO,3,-0.010557666666666668,0.103576,2.6081403333333335
LRCX,3,0.09048466666666667,0.012374333333333334,-0.030809500000000004
MU,6,-0.04322466666666666,0.005826399999999998,0.690516
2454.TW,4,0.035064,-0.047184000000000004,-0.21985833333333335
GOOGL,3,0.063573,-0.0815665,-0.05987850000000001
005930.KS,15,-0.010638133333333336,-0.08754146153846154,-0.5026284
TSM,3,-0.011699333333333332,-0.1148905,0.078559
QCOM,5,0.0050165999999999995,-0.16116400000000003,-0.42810174999999995
ASML,4,0.0055495,-0.194366,-0.3496325
GFS,3,0.12033633333333332,-0.21900399999999998,-0.7678823333333332
AMD,8,-0.040382375,-0.23139416666666665,-0.3666565
INTC,30,-0.005362099999999999,-0.24544510714285714,-0.6171877619047619
ARM,6,-0.070975,-0.534599,
